'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
1840;46405;999;'';'';'';;;;;2830;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46405;999;'';'';'';;;;;2938;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46405;999;'';'';'';;;;;3119;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46405;999;'';'';'';;;;;3183;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46405;999;'';'';'';;;;;3044;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47347;999;'';'';'';;;;;3370;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47347;999;'';'';'';;;;;36;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47347;999;'';'';'';;;;;686;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47347;999;'';'';'';;;;;780;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47347;999;'';'';'';;;;;58;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47360;999;'';'';'';;;;;3806;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47360;999;'';'';'';;;;;227;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47360;999;'';'';'';;;;;290;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47360;999;'';'';'';;;;;360;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47360;999;'';'';'';;;;;352;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47370;999;'';'';'';;;;;3315;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47370;999;'';'';'';;;;;3139;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47370;999;'';'';'';;;;;1805;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47370;999;'';'';'';;;;;1902;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47370;999;'';'';'';;;;;1699;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47378;999;'';'';'';;;;;2556;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47378;999;'';'';'';;;;;2637;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47378;999;'';'';'';;;;;2030;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47378;999;'';'';'';;;;;2033;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47378;999;'';'';'';;;;;2036;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47389;999;'';'';'';;;;;381;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47389;999;'';'';'';;;;;4080;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47389;999;'';'';'';;;;;3609;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47389;999;'';'';'';;;;;3653;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47389;999;'';'';'';;;;;3628;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47636;999;'';'';'';;;;;1782;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47636;999;'';'';'';;;;;52;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47636;999;'';'';'';;;;;284;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47636;999;'';'';'';;;;;798;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47636;999;'';'';'';;;;;1093;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47400;999;'';'';'';;;;;1808;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47400;999;'';'';'';;;;;989;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47400;999;'';'';'';;;;;1078;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47400;999;'';'';'';;;;;1118;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47400;999;'';'';'';;;;;1050;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47415;999;'';'';'';;;;;4197;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47415;999;'';'';'';;;;;4230;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47415;999;'';'';'';;;;;4514;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47415;999;'';'';'';;;;;4609;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47415;999;'';'';'';;;;;4479;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47432;999;'';'';'';;;;;690;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47432;999;'';'';'';;;;;1107;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47432;999;'';'';'';;;;;1455;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47432;999;'';'';'';;;;;1640;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47432;999;'';'';'';;;;;1785;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47447;999;'';'';'';;;;;620;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47447;999;'';'';'';;;;;861;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47447;999;'';'';'';;;;;1985;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47447;999;'';'';'';;;;;2078;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47447;999;'';'';'';;;;;2078;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47467;999;'';'';'';;;;;4372;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47467;999;'';'';'';;;;;3267;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47467;999;'';'';'';;;;;3803;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47467;999;'';'';'';;;;;3803;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47467;999;'';'';'';;;;;3803;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47485;999;'';'';'';;;;;577;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47485;999;'';'';'';;;;;577;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47485;999;'';'';'';;;;;680;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
